user_id,resource_id,rating,completed,feedback_text,feedback_id,content_id,content_type,comments
1,365.0,2,False,"Great instructor, easy to follow.",,,,
1,364.0,2,True,Good but could use more examples.,,,,
2,122.0,4,True,Perfect for my level.,,,,
2,405.0,5,False,Not enough practice problems.,,,,
3,67.0,4,False,"Great instructor, easy to follow.",,,,
3,314.0,4,False,Loved the hands-on projects.,,,,
3,45.0,1,True,Perfect for my level.,,,,
3,34.0,1,False,Not enough practice problems.,,,,
3,159.0,5,False,"Excellent content, highly recommend.",,,,
4,328.0,4,True,Too fast-paced for beginners.,,,,
4,301.0,5,True,"Outdated content, needs updating.",,,,
4,94.0,2,True,Perfect for my level.,,,,
4,394.0,2,False,"Great instructor, easy to follow.",,,,
4,67.0,3,True,"Outdated content, needs updating.",,,,
5,326.0,3,True,"Outdated content, needs updating.",,,,
5,283.0,5,True,"Great instructor, easy to follow.",,,,
6,87.0,5,False,Loved the hands-on projects.,,,,
6,304.0,1,True,Too fast-paced for beginners.,,,,
6,298.0,1,False,Good but could use more examples.,,,,
6,79.0,5,False,Loved the hands-on projects.,,,,
6,88.0,1,False,"Great instructor, easy to follow.",,,,
6,338.0,3,False,Not enough practice problems.,,,,
7,413.0,4,False,Not enough practice problems.,,,,
7,414.0,1,True,"Excellent content, highly recommend.",,,,
8,213.0,3,True,Perfect for my level.,,,,
8,248.0,3,False,Challenging but rewarding.,,,,
8,238.0,2,False,"Great instructor, easy to follow.",,,,
8,105.0,5,True,Perfect for my level.,,,,
9,239.0,3,False,Good but could use more examples.,,,,
9,63.0,2,True,"Very clear explanation, helped me understand the concept.",,,,
10,197.0,4,True,"Excellent content, highly recommend.",,,,
10,443.0,3,False,Good but could use more examples.,,,,
10,316.0,2,False,"Great instructor, easy to follow.",,,,
11,256.0,1,False,"Great instructor, easy to follow.",,,,
11,158.0,4,True,Good but could use more examples.,,,,
11,255.0,5,False,"Very clear explanation, helped me understand the concept.",,,,
11,12.0,1,False,Not enough practice problems.,,,,
12,432.0,5,True,Too fast-paced for beginners.,,,,
12,335.0,4,True,"Outdated content, needs updating.",,,,
12,345.0,3,False,Perfect for my level.,,,,
12,241.0,1,False,"Very clear explanation, helped me understand the concept.",,,,
12,147.0,5,True,Perfect for my level.,,,,
